ID	adj.P.Val
243112_at	0.25333
209095_at	0.2534
218205_s_at	0.25371
218171_at	0.25375
203479_s_at	0.25408
201156_s_at	0.25408
228190_at	0.25413
212213_x_at	0.25413
205533_s_at	0.25413
201824_at	0.25516
230286_at	0.25516
229811_at	0.25516
209339_at	0.25543
1555794_at	0.25613
238892_at	0.25613
229869_at	0.25613
221976_s_at	0.25613
1566980_at	0.25613
218517_at	0.25613
235831_at	0.25613
229676_at	0.25613
224963_at	0.25613
236696_at	0.25613
221988_at	0.25613
243501_at	0.25645
229215_at	0.25652
203086_at	0.25653
209102_s_at	0.25673
242258_at	0.25749
213706_at	0.25749
204046_at	0.25888
226766_at	0.25907
215921_at	0.25907
225099_at	0.26007
213036_x_at	0.26164
212118_at	0.26164
1556131_s_at	0.26164
212223_at	0.26164
242471_at	0.26164
225130_at	0.26171
206956_at	0.26175
228733_at	0.26212
216924_s_at	0.26212
231878_at	0.26212
46142_at	0.26212
242663_at	0.26212
242220_at	0.26212
223885_at	0.26212
218505_at	0.26212
226134_s_at	0.26214
211421_s_at	0.26214
1554360_at	0.26214
211116_at	0.26214
230766_at	0.26227
213431_x_at	0.26227
227549_x_at	0.26289
213657_s_at	0.26289
1557675_at	0.26289
227046_at	0.26289
1557113_at	0.26289
238803_at	0.26289
209699_x_at	0.26289
237544_at	0.26289
233290_at	0.26289
240366_at	0.26289
227637_at	0.26289
213133_s_at	0.26289
203757_s_at	0.26289
202259_s_at	0.26289
234735_s_at	0.26289
223810_at	0.26289
218664_at	0.26289
224944_at	0.26289
217164_at	0.26289
235136_at	0.26289
219165_at	0.26289
226330_s_at	0.26289
215014_at	0.26289
220526_s_at	0.26289
228319_at	0.26289
235050_at	0.26289
239585_at	0.26289
206484_s_at	0.26289
220952_s_at	0.26289
235262_at	0.26289
219884_at	0.26289
225049_at	0.26289
219736_at	0.26289
228349_at	0.26289
222921_s_at	0.26289
1562341_at	0.26289
203445_s_at	0.26289
244683_at	0.26289
227345_at	0.26289
237398_at	0.26289
221512_at	0.26289
1566472_s_at	0.26289
229464_at	0.26289
